id;arrival_time;departure_time;station_id;train_id
1;2019-10-22T15:13:05;2019-10-22T18:25:27;1;1
2;2019-10-22T13:03:55;2019-10-22T21:50:10;2;2
3;2019-10-22T05:10:00;2019-10-22T09:10:11;3;3
4;2019-10-22T19:13:07;2019-10-22T14:49:54;4;4
5;2019-10-22T11:40:09;2019-10-22T00:24:49;5;5
6;2019-10-22T09:47:35;2019-10-22T12:48:31;6;6
7;2019-10-22T22:53:45;2019-10-22T03:22:21;7;7
8;2019-10-22T09:25:47;2019-10-22T07:41:01;8;8
9;2019-10-22T19:55:06;2019-10-22T13:11:56;9;9
10;2019-10-22T22:26:58;2019-10-22T23:41:33;10;10
